Seed,Duration (s),Predicted,Error,CI Lower,CI Upper
42,30,0.7484799424810321,0.1411884516176819,0.597849096776609,0.9242180604962545
42,60,0.907226340997718,0.01755794689900403,0.7519541913628952,0.9999
42,90,0.9999,0.110231605901286,0.8789980595569823,0.9999
42,120,0.9999,0.110231605901286,0.9556671010823554,0.9999
42,150,0.9999,0.110231605901286,0.9578140414116516,0.9999
42,180,0.9999,0.110231605901286,0.9889618795775578,0.9999
42,210,0.9999,0.110231605901286,0.9822536200050792,0.9999
42,240,0.9999,0.110231605901286,0.9996402359308169,0.9999
123,30,0.7479330980556623,0.11548549768240679,0.601830377135961,0.9044007591305812
123,60,0.9378678862220762,0.07444929048400706,0.7794194801886867,0.9999
123,90,0.9504473789950083,0.08702878325693919,0.8173113065993622,0.9999
123,120,0.9957155259096837,0.1322969301716146,0.8972131103045432,0.9999
123,150,0.9999,0.1364814042619309,0.9121547959553555,0.9999
123,180,0.9999,0.1364814042619309,0.938560095219645,0.9999
123,210,0.9999,0.1364814042619309,0.970659822302836,0.9999
123,240,0.9999,0.1364814042619309,0.9621747753300148,0.9999
777,30,0.7111876581373836,0.18117222806970712,0.5156544629350585,0.8856356452632869
777,60,0.9486247398719923,0.056264853664901526,0.7840912059529972,0.9999
777,90,0.9999,0.10754011379290929,0.8548792737664721,0.9999
777,120,0.9999,0.10754011379290929,0.9541811871173759,0.9999
777,150,0.9999,0.10754011379290929,0.9809333920245588,0.9999
777,180,0.9999,0.10754011379290929,0.9674693639241954,0.9999
777,210,0.9999,0.10754011379290929,0.9950700537721873,0.9999
777,240,0.9999,0.10754011379290929,0.9749838757661158,0.9999
2026,30,0.7328799639036029,0.14058393923838552,0.5983130665200479,0.892443060008909
2026,60,0.8451564756718051,0.028307427470183333,0.6529192495911544,0.9999
2026,90,0.954544273129109,0.08108036998712065,0.8147072144635951,0.9999
2026,120,0.972051415097947,0.0985875119559586,0.8766637990927266,0.9999
2026,150,0.9799549958923685,0.10649109275038005,0.8736968763008065,0.9999
2026,180,0.9884565840120547,0.11499268087006631,0.9021073585311271,0.9999
2026,210,0.9886886515446196,0.1152247484026312,0.9317398906095627,0.9999
2026,240,0.9963062210822036,0.12284231794021516,0.9258867945313157,0.9999
9999,30,0.8175886242223215,0.07024524847090252,0.628297168265296,0.9769342283206591
9999,60,0.8945286213585699,0.006694748665345918,0.7751127400155206,0.9999
9999,90,0.9314932432740732,0.04365937058084923,0.7855263375622006,0.9999
9999,120,0.9841640343274515,0.09633016163422747,0.8795777342063402,0.9999
9999,150,0.9999,0.11206612730677601,0.9261028730126644,0.9999
9999,180,0.9999,0.11206612730677601,0.9527411124498201,0.9999
9999,210,0.9999,0.11206612730677601,0.970396870180805,0.9999
9999,240,0.9999,0.11206612730677601,0.9769905235238601,0.9999
314,30,0.8336604916550301,0.0579478247778753,0.6048209555514711,0.9999
314,60,0.9816202664899145,0.09001195005700913,0.8068565782095237,0.9999
314,90,0.9999,0.10829168356709462,0.8772584383246532,0.9999
314,120,0.9999,0.10829168356709462,0.9199099980422591,0.9999
314,150,0.9999,0.10829168356709462,0.9151387916151799,0.9999
314,180,0.9999,0.10829168356709462,0.9999,0.9999
314,210,0.9999,0.10829168356709462,0.9615760012830187,0.9999
314,240,0.9999,0.10829168356709462,0.9763502522548138,0.9999
628,30,0.8330307639926021,0.05415738649442925,0.6375836655352941,0.9988935551640735
628,60,0.9455052494027237,0.05831709891569237,0.7525545091793958,0.9999
628,90,0.9632630586962246,0.07607490820919327,0.7997040877904324,0.9999
628,120,0.9997591980714051,0.11257104758437375,0.8874617005550156,0.9999
628,150,0.9999,0.11271184951296864,0.8973803406419978,0.9999
628,180,0.9999,0.11271184951296864,0.948395224088982,0.9999
628,210,0.9999,0.11271184951296864,0.960832306223418,0.9999
628,240,0.9999,0.11271184951296864,0.9677609286232578,0.9999
1414,30,0.743149864873476,0.1479179267985643,0.5519973994519551,0.9575647754132485
1414,60,0.9269846289297304,0.035916837257690126,0.7689747937742019,0.9999
1414,90,0.9830102933936111,0.09194250172157081,0.8506148078774369,0.9999
1414,120,0.9999,0.1088322083279597,0.9145939890812836,0.9999
1414,150,0.9999,0.1088322083279597,0.9641286405867089,0.9999
1414,180,0.9999,0.1088322083279597,0.9758890533962035,0.9999
1414,210,0.9999,0.1088322083279597,0.9878314639699916,0.9999
1414,240,0.9999,0.1088322083279597,0.9989894745619973,0.9999
2718,30,0.7743611224337956,0.11886196797842685,0.5444402235972056,0.998689709652446
2718,60,0.9895175894163571,0.09629449900413467,0.8112282849568583,0.9999
2718,90,0.9999,0.10667690958777754,0.8931272013479599,0.9999
2718,120,0.9999,0.10667690958777754,0.9315760123670737,0.9999
2718,150,0.9999,0.10667690958777754,0.9918983030991042,0.9999
2718,180,0.9999,0.10667690958777754,0.9791950424405682,0.9999
2718,210,0.9999,0.10667690958777754,0.9985259485394017,0.9999
2718,240,0.9999,0.10667690958777754,0.9999,0.9999
3141,30,0.7254222133326225,0.15076130406261323,0.5051372443916345,0.8845277427627951
3141,60,0.9328872474297597,0.056703730034524,0.7646335881232393,0.9999
3141,90,0.9999,0.12371648260476431,0.8634376081789841,0.9999
3141,120,0.9999,0.12371648260476431,0.9303675742865708,0.9999
3141,150,0.9999,0.12371648260476431,0.9563712279503142,0.9999
3141,180,0.9999,0.12371648260476431,0.9532798006279667,0.9999
3141,210,0.9999,0.12371648260476431,0.9688097356146096,0.9999
3141,240,0.9999,0.12371648260476431,0.9769948338699503,0.9999
