subject_id,level,level_name,seed,rho_hat_T,delta_from_raw
sub-001_cc200,L5,Full BS-NET,2718,0.799701,0.115738
sub-001_cc200,L0,Raw,3141,0.683962,0.000000
sub-001_cc200,L1,+LW,3141,0.676812,-0.007150
sub-001_cc200,L2,+Bootstrap,3141,0.573354,-0.110608
sub-001_cc200,L3,+SB+Atten,3141,0.697204,0.013242
sub-001_cc200,L4,+Prior,3141,0.803781,0.119819
sub-001_cc200,L5,Full BS-NET,3141,0.801403,0.117440
sub-002_cc200,L0,Raw,628,0.746885,0.000000
sub-002_cc200,L1,+LW,628,0.742612,-0.004274
sub-002_cc200,L2,+Bootstrap,628,0.624307,-0.122579
sub-002_cc200,L3,+SB+Atten,628,0.748711,0.001826
sub-002_cc200,L4,+Prior,628,0.834392,0.087507
sub-002_cc200,L5,Full BS-NET,628,0.832814,0.085928
sub-002_cc200,L0,Raw,2718,0.746885,0.000000
sub-002_cc200,L1,+LW,2718,0.742612,-0.004274
sub-002_cc200,L2,+Bootstrap,2718,0.630524,-0.116361
sub-002_cc200,L3,+SB+Atten,2718,0.748144,0.001258
sub-002_cc200,L4,+Prior,2718,0.825620,0.078735
sub-002_cc200,L5,Full BS-NET,2718,0.822393,0.075507
sub-002_cc200,L0,Raw,1414,0.746885,0.000000
sub-002_cc200,L1,+LW,1414,0.742612,-0.004274
sub-002_cc200,L2,+Bootstrap,1414,0.629167,-0.117719
sub-002_cc200,L3,+SB+Atten,1414,0.751327,0.004441
sub-002_cc200,L4,+Prior,1414,0.824856,0.077971
sub-002_cc200,L5,Full BS-NET,1414,0.832608,0.085723
sub-002_cc200,L0,Raw,3141,0.746885,0.000000
sub-002_cc200,L1,+LW,3141,0.742612,-0.004274
sub-002_cc200,L2,+Bootstrap,3141,0.633429,-0.113456
sub-002_cc200,L3,+SB+Atten,3141,0.728865,-0.018020
sub-002_cc200,L4,+Prior,3141,0.824273,0.077387
sub-002_cc200,L5,Full BS-NET,3141,0.822970,0.076085
