subject_id,seed,rho_hat_T,ci_lower,ci_upper,r_fc,pass,split_half_r,mean_abs_fc,snr,mean_ar1,n_low_var_rois,temporal_var,signal_var,noise_var
0,1000,0.9741220186545512,0.8266369300963735,0.9999,0.7327973172810041,True,0.3193495232561415,0.10800856536516658,0.9328677020895367,0.2990718211929777,0,1.8735020792585269,0.9317568052665115,0.9988091593046506
1,1001,0.9999,0.8635065283854039,0.9999,0.7590737398126347,True,0.35680183010421196,0.11480415845853478,1.0398243945146932,0.27914485985464466,0,1.975903926752571,1.0285798560785586,0.9891861178719676
2,1002,0.9697270053170719,0.8309739378899903,0.9999,0.7291152786825924,True,0.3150145668868672,0.11649903641996705,1.034990402474545,0.2908085603738344,0,1.8616646157315766,1.0058214925407638,0.9718172169867065
3,1003,0.891608288474287,0.8009715482932958,0.9996532515134924,0.6889588221421468,True,0.29281467686999907,0.10837483388901277,0.8868596069015715,0.2819911534214779,0,1.84495542612975,0.8930347554199556,1.0069629380685836
4,1004,0.9611417993934555,0.8466618822863164,0.9999,0.7550335014909934,True,0.30400640897687536,0.108795792034683,0.9407776349230366,0.2773661241172669,0,1.8446707218383593,0.9178836160090992,0.975664792545998
5,1005,0.9474020168901571,0.8334796611026365,0.9999,0.7433305458518898,True,0.28493920398261463,0.10831547702990285,0.9728907539475139,0.2904739577665584,0,1.9213510435476309,0.9583929309045071,0.9850982004051516
6,1006,0.9709574374340023,0.8670557082651442,0.9999,0.7546556894629909,True,0.3023826481976256,0.10667106351043361,1.0356989404036097,0.2829574534053068,0,1.8613093036053245,1.002427848871797,0.9678757115278627
7,1007,0.9473637337244724,0.8610541697317737,0.9999,0.721247445124288,True,0.27683923203350375,0.11163507615732797,0.9660224641191281,0.272050708983134,0,1.9168364073018955,0.9862871301564327,1.020977427326996
8,1008,0.9644855254862956,0.83450931567422,0.9999,0.7380059076530466,True,0.32798964457606633,0.10246195837619078,0.9401235911288324,0.27587280198909203,0,1.813501344289243,0.912452508460451,0.9705665479204113
9,1009,0.8961290780859641,0.7803337374119486,0.9992325346019711,0.6974410285399637,True,0.21050150635133194,0.10093123014230877,0.9104988894862543,0.25821170512529806,0,1.85665068535792,0.8981308482536298,0.9864161929515332
10,1010,0.9370551393837102,0.8297398060599531,0.9999,0.7225114919866343,True,0.306586868318197,0.1110166688822621,0.969910482784245,0.24635471436609052,0,1.846482896636066,0.9539768061716607,0.9835720131956459
11,1011,0.9301537471234037,0.8091417726075334,0.9999,0.7078144814073232,True,0.18573899338706673,0.10094324560358248,0.9428392502205293,0.2723360010350675,0,1.7560639899604558,0.908092652787597,0.9631468488135119
12,1012,0.8800509578185356,0.7703016150253702,0.9838444049353972,0.6936866998314744,True,0.25709329962412775,0.10756173141706911,0.9159985555115426,0.27155543283287314,0,1.883263989221326,0.9270482659724031,1.0120630217093407
13,1013,0.873935848947985,0.741997625922985,0.9959393222147671,0.6867338046401754,True,0.23843957767896004,0.10604717982456818,0.8973108975383769,0.27247400312598063,0,1.8230743770965432,0.8851033285555415,0.9863953853493534
14,1014,0.953453279151042,0.8252727672206922,0.9999,0.7248687797960386,True,0.2226226472325779,0.09814206583962977,1.0222508219131448,0.2743585119852458,0,1.9115419156127227,1.02142864461149,0.9991957186200975
15,1015,0.9221155851806236,0.8203377271203859,0.9999,0.6966742275825589,True,0.28491197334474516,0.11948394182720212,1.0005682535330547,0.3046683303576168,0,1.8771353954331456,0.9979336732962638,0.9973669160224823
16,1016,0.8547075807358506,0.7221858956991642,0.9813947712996153,0.6559839103715601,True,0.20491188257827117,0.11362298485036611,0.9652046009149232,0.2841961276986277,0,1.8827480436530228,0.9705273455106921,1.0055146282878504
17,1017,0.8976996224303762,0.7523045564602998,0.9999,0.7144022077635392,True,0.36822636955585397,0.10688201327322201,0.9029704973772956,0.2525173640258783,0,1.926083104259949,0.9140909210902987,1.0123153787917796
18,1018,0.9046297288252116,0.80087806409611,0.961414067704047,0.6886661454064232,True,0.18668434132441092,0.09908144489839452,0.9174567457637594,0.27817740506873395,0,1.7889075777995893,0.9075859659827964,0.9892411497037434
19,1019,0.8440670393984964,0.6777652362857416,0.9390683715880241,0.6671150042340345,True,0.17191665466596426,0.09591040037477858,0.8409984659976795,0.2316007750989628,0,1.7740648766020426,0.8409200674116585,0.9999067791569299
20,1020,0.9534710031111439,0.8260566879858005,0.9999,0.7249870685813269,True,0.2907171407681059,0.11041337697891433,1.0631867034917801,0.2891451697054772,0,1.8477791195275473,1.0257825792682762,0.9648188562736355
21,1021,0.8859945964613694,0.7464514533207812,0.9760414880315146,0.6907102565454148,True,0.27998418509910494,0.09927763700467128,0.8867188786289801,0.24472630978970705,0,1.795896757380639,0.8973839885315162,1.012027611184986
22,1022,0.8729470606216597,0.7789921805971947,0.9869204024445588,0.6721411759156817,True,0.2316578643022575,0.10215915504371116,0.9159404521503736,0.2625368371176087,0,1.8601969733701373,0.9229481430821636,1.0076508149796615
23,1023,0.9887578649410648,0.8394820688745761,0.9999,0.7538096348109744,True,0.33366603721453447,0.11466147209744085,1.0951037535344956,0.3064894129852207,0,1.9143299088357453,1.0611256153839228,0.9689726767524018
24,1024,0.9048832339463131,0.7986714426451236,0.9997455760313936,0.7002917380842498,True,0.28563941917510355,0.1053574024438006,0.9538524610393965,0.2843841673444541,0,1.8774671036902895,0.9278625522193417,0.972752695116251
25,1025,0.9183510230171688,0.7830454454057798,0.9999,0.7082928119802748,True,0.2618482964839287,0.10390387511061121,0.8942212547822949,0.25449200933733274,0,1.84689117015368,0.90590298319865,1.0130635772230656
26,1026,0.9276739790363919,0.8212971630651896,0.9999,0.7027918151072228,True,0.2698950784668854,0.10616813294887208,0.9819524417357167,0.27851564022861036,0,1.8857644507604554,0.9819362711080306,0.9999835321681593
27,1027,0.9248477235608292,0.7934547639896069,0.9999,0.6939461737458377,True,0.24737072448599598,0.1017841846944875,0.8934561182722534,0.2597132792350886,0,1.8725866349617093,0.9115602245653528,1.020263005561044
28,1028,0.963868824923181,0.8572873013061683,0.9999,0.7305592533666455,True,0.27028787719334507,0.10981420827285748,0.9413892370896333,0.27144881898804646,0,1.9264875493455975,0.9403461880900195,0.9988920109148066
29,1029,0.9826512493295942,0.8862110271671282,0.9999,0.7590583356391571,True,0.2993089655933119,0.10693266497978543,1.1377786161646852,0.2983751289896088,0,1.9485553977643035,1.095932882557798,0.9632215502977687
30,1030,0.9492561230616092,0.8234027284031303,0.9999,0.7368296489300408,True,0.3025961492865562,0.1051053423832033,0.9907311762679661,0.2814560021979393,0,1.8888535016440438,0.9690262152853809,0.9780919774177828
31,1031,0.9299916775433714,0.8021020187356757,0.9999,0.7017206428920217,True,0.26747575915920074,0.10758021657728203,0.9618927034245097,0.2598934229831867,0,1.8456320860331998,0.9451009990933312,0.982543058834528
32,1032,0.9116383675015939,0.8130821843838236,0.9999,0.7312168643885304,True,0.31217412120487237,0.10738224226603124,0.9370053902370772,0.2729327234168432,0,1.8009323906142982,0.8989750869488706,0.9594129300808139
33,1033,0.9159838973662393,0.8057725569145686,0.9861799204321464,0.7006179957649077,True,0.2256010904074637,0.10429663845931558,0.9276899252986783,0.2687186274323882,0,1.8027000112893379,0.9104233461959175,0.9813875535004848
34,1034,0.9506232201409632,0.7393052188355723,0.9999,0.72116363699732,True,0.2566166076631421,0.10879154105916967,0.9795682333665019,0.2740727805089356,0,1.8670850195065782,0.9746381783385206,0.9949671142243578
35,1035,0.9999,0.8831243591202378,0.9999,0.7479194573564601,True,0.3464164534042679,0.11604763799247154,0.9957020576507607,0.27836920584693325,0,1.948058860299888,0.9869902667313285,0.9912506046839086
36,1036,0.9751821129627923,0.8838088761783099,0.9999,0.7406408739123786,True,0.31090851055285423,0.11128960450599312,1.0376050537622281,0.29392756339823545,0,1.9971244188254356,1.039103134591649,1.0014437871365305
37,1037,0.9945066259918234,0.8591445021415061,0.9999,0.7668607647534216,True,0.28395105276700494,0.10870753610675304,1.0003893571080429,0.29350671580466986,0,1.9261373315418369,0.9964487950395221,0.9960609716201776
38,1038,0.8895036857165829,0.7723015253727946,0.9786494990288526,0.703319014708481,True,0.263726000893102,0.10571771622905382,1.0101565928092628,0.2761198027599932,0,1.9156062917029444,1.0147848149034455,1.004581687757253
39,1039,0.9121104373323233,0.8318094734815498,0.9996915357392266,0.6960991592470067,True,0.24818200093281112,0.10536534392846228,0.9650166460085344,0.2668196567942027,0,1.8389820167183166,0.9688149967484805,1.0039360468605973
40,1040,0.907891419050943,0.7906007845490638,0.9999,0.7137210124950155,True,0.23467063645176706,0.10366668335378565,0.9250511372704933,0.269753460124932,0,1.822823536726834,0.9197043004513185,0.9942199554124634
41,1041,0.9661508680559002,0.8322417073187885,0.9999,0.7408343989603089,True,0.31750218781383377,0.10866689488379992,0.9943063329463571,0.2859073020724105,0,1.914128725123432,0.9882127258625922,0.9938714992735608
42,1042,0.8846995829413381,0.7679780388822751,0.9975565274989308,0.689582559460755,True,0.28781429021744315,0.10109229973757462,0.8683164882638279,0.2609953924341874,0,1.793294172676988,0.8559476086067928,0.9857553325035134
43,1043,0.9679580007416262,0.8387959700743477,0.9999,0.7455180137459205,True,0.31523612836795395,0.10767088401157127,0.9687601606852084,0.29327992579176604,0,1.9353567775403022,0.9726653024210781,1.0040310717702383
44,1044,0.9586736480291315,0.8384598128799331,0.9999,0.7384095612011456,True,0.24023017803971783,0.11104971914288976,1.0409907962313496,0.3026711724244561,0,1.9175383719585752,1.0100869889249533,0.970313083056761
45,1045,0.9599467576633237,0.8251279524673154,0.9999,0.7461827280552015,True,0.2656010041382549,0.11138957022409891,0.9871509476910951,0.29402933968158385,0,1.9061096030573035,0.9606177400343208,0.9731214281677646
46,1046,0.9173674854120795,0.8105293937181386,0.979594823115207,0.7090185839977737,True,0.24389424656849548,0.10101728461222817,0.9738044921762238,0.2873270799915158,0,1.864371794084263,0.9476441969447648,0.9731359883409483
47,1047,0.8742227812943225,0.7368507061065075,0.9822402735746588,0.6766749060516273,True,0.2301924560049778,0.10143199310961085,0.8556880502520441,0.24157065713887743,0,1.8311560782203504,0.8688642689351113,1.0153983904288322
48,1048,0.9338391868531956,0.8252603880849977,0.9999,0.7133843800709673,True,0.25528058777159357,0.10766143714584914,0.9684024673124247,0.2549169963696183,0,1.8885740101411386,0.9745196974626309,1.0063168262749094
49,1049,0.9419693475339004,0.8482867355841329,0.9999,0.7343306058424246,True,0.33421854974342835,0.10881585101419583,0.9063758626762645,0.25656202895510266,0,1.8932041076863007,0.9196707533359125,1.0146681870150338
50,1050,0.9763454294203553,0.8465600330574657,0.9999,0.7459449041193394,True,0.2527444480653031,0.1068210796535247,0.9976613510216639,0.29519231926040523,0,1.9672160823594984,1.0076771274679124,1.0100392547390873
51,1051,0.9687431254257866,0.8316419573260961,0.9999,0.7484713132464812,True,0.32259873649155885,0.10794037466219003,0.9323876958445474,0.27449443470179874,0,1.9683215980437203,0.9507762930912119,1.019722050525354
52,1052,0.9815970811696514,0.8055112672554127,0.9999,0.7432875766145091,True,0.23435169019366298,0.10454156726881472,0.9833160011445333,0.28294967058933973,0,1.9410420604809955,0.9802953270207341,0.9969280738640647
53,1053,0.9999,0.8780530633303166,0.9999,0.7562199211115023,True,0.3827349056014405,0.11015569337924597,0.9492586345912832,0.2545596381126082,0,2.015316898959559,0.9783429978500123,1.0306390294477035
54,1054,0.9470937817799759,0.8051148717153355,0.9999,0.7309608108314516,True,0.2636714651015462,0.10791210055021148,0.9681873558872349,0.25544788305560134,0,1.9079110779282542,0.9525510177740089,0.9838498839938917
55,1055,0.9976264549126258,0.9153640048306466,0.9999,0.7534463718375477,True,0.30558853522207124,0.10815937051050455,1.0178763681032896,0.2767611416798514,0,1.8735969852953718,0.9838786203507399,0.9665993348328726
56,1056,0.8713926481631904,0.7457280078122928,0.9804231460815537,0.6911867645325704,True,0.2840581964019068,0.10244617856070855,0.9925938053721813,0.2816283939656196,0,1.921649214328411,0.9687956905590238,0.9760243166093161
57,1057,0.945474721553255,0.7766211732040774,0.9999,0.7200975099530893,True,0.34533122265238725,0.11426545230220533,1.0197436067809977,0.29327524862555276,0,1.8851221941706275,0.9882373162916683,0.9691037136395642
58,1058,0.9236059372713595,0.827183836609066,0.9999,0.7173637928228973,True,0.25689093510992284,0.10613941513107898,0.9575178134396707,0.26914829771413584,0,1.8678143020174782,0.9171496610057001,0.9578408340112682
59,1059,0.924120504061537,0.8268229762424341,0.9999,0.6992044178949176,True,0.2806862455929423,0.10200138187572891,0.9082057647161653,0.26863998600194755,0,1.8353612262470038,0.9046116445120529,0.9960426146323398
