Seed,Subject,Model,Network,Jaccard Overlap
42,7,BS-NET (2m),Dorsal Attn,0.875
42,7,BS-NET (2m),Ventral Attn,1.0
42,7,BS-NET (2m),Limbic,0.875
42,7,BS-NET (2m),Control,0.8
42,7,BS-NET (2m),Default Mode,0.6666666666666666
42,8,Raw FC (2m),Visual,0.7857142857142857
42,8,Raw FC (2m),Somatomotor,0.8125
42,8,Raw FC (2m),Dorsal Attn,0.9333333333333333
42,8,Raw FC (2m),Ventral Attn,0.9285714285714286
42,8,Raw FC (2m),Limbic,0.9285714285714286
42,8,Raw FC (2m),Control,0.8235294117647058
42,8,Raw FC (2m),Default Mode,1.0
42,8,BS-NET (2m),Visual,0.7857142857142857
42,8,BS-NET (2m),Somatomotor,0.7647058823529411
42,8,BS-NET (2m),Dorsal Attn,0.9333333333333333
42,8,BS-NET (2m),Ventral Attn,0.9285714285714286
42,8,BS-NET (2m),Limbic,0.8571428571428571
42,8,BS-NET (2m),Control,0.875
42,8,BS-NET (2m),Default Mode,0.9411764705882353
42,9,Raw FC (2m),Visual,0.8125
42,9,Raw FC (2m),Somatomotor,1.0
42,9,Raw FC (2m),Dorsal Attn,0.8571428571428571
42,9,Raw FC (2m),Ventral Attn,0.5
42,9,Raw FC (2m),Limbic,0.7
42,9,Raw FC (2m),Control,0.9333333333333333
42,9,Raw FC (2m),Default Mode,1.0
42,9,BS-NET (2m),Visual,0.8
42,9,BS-NET (2m),Somatomotor,1.0
42,9,BS-NET (2m),Dorsal Attn,0.8571428571428571
42,9,BS-NET (2m),Ventral Attn,0.5
42,9,BS-NET (2m),Limbic,0.6666666666666666
42,9,BS-NET (2m),Control,0.875
42,9,BS-NET (2m),Default Mode,1.0
42,10,Raw FC (2m),Visual,0.9333333333333333
42,10,Raw FC (2m),Somatomotor,0.8666666666666667
42,10,Raw FC (2m),Dorsal Attn,1.0
42,10,Raw FC (2m),Ventral Attn,1.0
42,10,Raw FC (2m),Limbic,0.8
42,10,Raw FC (2m),Control,0.9285714285714286
42,10,Raw FC (2m),Default Mode,0.8333333333333334
42,10,BS-NET (2m),Visual,0.9333333333333333
42,10,BS-NET (2m),Somatomotor,0.8666666666666667
42,10,BS-NET (2m),Dorsal Attn,1.0
42,10,BS-NET (2m),Ventral Attn,1.0
42,10,BS-NET (2m),Limbic,0.8
42,10,BS-NET (2m),Control,0.9285714285714286
42,10,BS-NET (2m),Default Mode,0.8333333333333334
42,11,Raw FC (2m),Visual,0.2692307692307692
42,11,Raw FC (2m),Somatomotor,0.7
42,11,Raw FC (2m),Dorsal Attn,0.5714285714285714
42,11,Raw FC (2m),Ventral Attn,1.0
42,11,Raw FC (2m),Limbic,1.0
42,11,Raw FC (2m),Control,1.0
42,11,Raw FC (2m),Default Mode,0.8888888888888888
42,11,BS-NET (2m),Visual,0.4642857142857143
42,11,BS-NET (2m),Somatomotor,0.5185185185185185
42,11,BS-NET (2m),Dorsal Attn,0.9285714285714286
42,11,BS-NET (2m),Ventral Attn,1.0
42,11,BS-NET (2m),Limbic,1.0
42,11,BS-NET (2m),Control,1.0
42,11,BS-NET (2m),Default Mode,0.9411764705882353
42,12,Raw FC (2m),Visual,0.8666666666666667
42,12,Raw FC (2m),Somatomotor,0.8571428571428571
42,12,Raw FC (2m),Dorsal Attn,0.9285714285714286
42,12,Raw FC (2m),Ventral Attn,0.875
42,12,Raw FC (2m),Limbic,0.6111111111111112
42,12,Raw FC (2m),Control,0.5555555555555556
42,12,Raw FC (2m),Default Mode,1.0
42,12,BS-NET (2m),Visual,0.8666666666666667
42,12,BS-NET (2m),Somatomotor,0.8571428571428571
42,12,BS-NET (2m),Dorsal Attn,0.9285714285714286
42,12,BS-NET (2m),Ventral Attn,0.875
42,12,BS-NET (2m),Limbic,0.6111111111111112
42,12,BS-NET (2m),Control,0.5555555555555556
42,12,BS-NET (2m),Default Mode,1.0
42,13,Raw FC (2m),Visual,0.8571428571428571
42,13,Raw FC (2m),Somatomotor,0.8235294117647058
42,13,Raw FC (2m),Dorsal Attn,0.4827586206896552
42,13,Raw FC (2m),Ventral Attn,0.4827586206896552
42,13,Raw FC (2m),Limbic,0.5
42,13,Raw FC (2m),Control,0.9333333333333333
42,13,Raw FC (2m),Default Mode,0.8
42,13,BS-NET (2m),Visual,0.8
