Subject,Model,ARI
72,BS-NET (2m),0.8445496290876626
73,Raw FC (2m),0.9941446399767858
73,BS-NET (2m),0.9941446399767858
74,Raw FC (2m),0.8445906908806882
74,BS-NET (2m),0.9941446399767858
75,Raw FC (2m),0.9941446399767858
75,BS-NET (2m),0.9941446399767858
76,Raw FC (2m),0.8468843222368466
76,BS-NET (2m),0.8468843222368466
77,Raw FC (2m),0.9426738961417448
77,BS-NET (2m),0.9426738961417448
78,Raw FC (2m),0.849809155995212
78,BS-NET (2m),0.9883942110502358
79,Raw FC (2m),0.9882383384865547
79,BS-NET (2m),0.9882383384865547
80,Raw FC (2m),0.8346882907275788
80,BS-NET (2m),0.8346882907275788
81,Raw FC (2m),0.9941446399767858
81,BS-NET (2m),0.9941446399767858
82,Raw FC (2m),0.8343616953497746
82,BS-NET (2m),0.8197601926853753
83,Raw FC (2m),0.9824378434352614
83,BS-NET (2m),0.9824378434352614
84,Raw FC (2m),0.9941446399767858
84,BS-NET (2m),0.9941446399767858
85,Raw FC (2m),0.9824876934597309
85,BS-NET (2m),0.9824876934597309
86,Raw FC (2m),0.9941446399767858
86,BS-NET (2m),0.9941446399767858
87,Raw FC (2m),0.9709920074840621
87,BS-NET (2m),0.9709920074840621
88,Raw FC (2m),0.9883419654602414
88,BS-NET (2m),0.9883419654602414
89,Raw FC (2m),0.849809155995212
89,BS-NET (2m),0.849809155995212
90,Raw FC (2m),0.9882374626082335
90,BS-NET (2m),0.9882374626082335
91,Raw FC (2m),0.9883942110502358
91,BS-NET (2m),0.9883942110502358
92,Raw FC (2m),1.0
92,BS-NET (2m),1.0
93,Raw FC (2m),0.9941446399767858
93,BS-NET (2m),0.849809155995212
94,Raw FC (2m),0.9825926127400315
94,BS-NET (2m),0.9825926127400315
95,Raw FC (2m),1.0
95,BS-NET (2m),1.0
96,Raw FC (2m),0.9764793041189712
96,BS-NET (2m),0.9764793041189712
97,Raw FC (2m),0.8445906908806882
97,BS-NET (2m),0.8445906908806882
98,Raw FC (2m),0.9883419654602414
98,BS-NET (2m),0.9883419654602414
99,Raw FC (2m),0.9824365357950506
99,BS-NET (2m),0.9824365357950506
