Subject,Model,Network,Jaccard Overlap
8,Raw FC (2m),Limbic,0.9285714285714286
8,Raw FC (2m),Control,0.8235294117647058
8,Raw FC (2m),Default Mode,1.0
8,BS-NET (2m),Visual,0.7857142857142857
8,BS-NET (2m),Somatomotor,0.8125
8,BS-NET (2m),Dorsal Attn,0.9333333333333333
8,BS-NET (2m),Ventral Attn,0.9285714285714286
8,BS-NET (2m),Limbic,0.9285714285714286
8,BS-NET (2m),Control,0.8235294117647058
8,BS-NET (2m),Default Mode,1.0
9,Raw FC (2m),Visual,0.8
9,Raw FC (2m),Somatomotor,1.0
9,Raw FC (2m),Dorsal Attn,0.8571428571428571
9,Raw FC (2m),Ventral Attn,0.5
9,Raw FC (2m),Limbic,0.6666666666666666
9,Raw FC (2m),Control,0.875
9,Raw FC (2m),Default Mode,1.0
9,BS-NET (2m),Visual,0.8125
9,BS-NET (2m),Somatomotor,1.0
9,BS-NET (2m),Dorsal Attn,0.8571428571428571
9,BS-NET (2m),Ventral Attn,0.5
9,BS-NET (2m),Limbic,0.7
9,BS-NET (2m),Control,0.9333333333333333
9,BS-NET (2m),Default Mode,1.0
10,Raw FC (2m),Visual,0.9333333333333333
10,Raw FC (2m),Somatomotor,0.9333333333333333
10,Raw FC (2m),Dorsal Attn,1.0
10,Raw FC (2m),Ventral Attn,0.9333333333333333
10,Raw FC (2m),Limbic,0.8
10,Raw FC (2m),Control,0.9285714285714286
10,Raw FC (2m),Default Mode,0.8235294117647058
10,BS-NET (2m),Visual,0.9333333333333333
10,BS-NET (2m),Somatomotor,0.8666666666666667
10,BS-NET (2m),Dorsal Attn,1.0
10,BS-NET (2m),Ventral Attn,1.0
10,BS-NET (2m),Limbic,0.8
10,BS-NET (2m),Control,0.9285714285714286
10,BS-NET (2m),Default Mode,0.8333333333333334
11,Raw FC (2m),Visual,0.25925925925925924
11,Raw FC (2m),Somatomotor,0.7
11,Raw FC (2m),Dorsal Attn,0.6190476190476191
11,Raw FC (2m),Ventral Attn,1.0
11,Raw FC (2m),Limbic,1.0
11,Raw FC (2m),Control,1.0
11,Raw FC (2m),Default Mode,0.9411764705882353
11,BS-NET (2m),Visual,0.25925925925925924
11,BS-NET (2m),Somatomotor,0.7
11,BS-NET (2m),Dorsal Attn,0.6190476190476191
11,BS-NET (2m),Ventral Attn,1.0
11,BS-NET (2m),Limbic,1.0
11,BS-NET (2m),Control,1.0
11,BS-NET (2m),Default Mode,0.9411764705882353
12,Raw FC (2m),Visual,0.9333333333333333
12,Raw FC (2m),Somatomotor,0.9285714285714286
12,Raw FC (2m),Dorsal Attn,0.9285714285714286
12,Raw FC (2m),Ventral Attn,0.7777777777777778
