Seed,Subject,Model,Network,Jaccard
123,2,BS-NET (2m),Ventral Attn,0.7857142857142857
123,2,BS-NET (2m),Limbic,0.9333333333333333
123,2,BS-NET (2m),Control,0.4375
123,2,BS-NET (2m),Default Mode,1.0
123,3,Raw FC (2m),Visual,1.0
123,3,Raw FC (2m),Somatomotor,1.0
123,3,Raw FC (2m),Dorsal Attn,0.9333333333333333
123,3,Raw FC (2m),Ventral Attn,0.9285714285714286
123,3,Raw FC (2m),Limbic,0.9285714285714286
123,3,Raw FC (2m),Control,1.0
123,3,Raw FC (2m),Default Mode,1.0
123,3,BS-NET (2m),Visual,0.875
123,3,BS-NET (2m),Somatomotor,0.875
123,3,BS-NET (2m),Dorsal Attn,1.0
123,3,BS-NET (2m),Ventral Attn,0.3333333333333333
123,3,BS-NET (2m),Limbic,0.9285714285714286
123,3,BS-NET (2m),Control,1.0
123,3,BS-NET (2m),Default Mode,0.6153846153846154
123,4,Raw FC (2m),Visual,1.0
123,4,Raw FC (2m),Somatomotor,1.0
123,4,Raw FC (2m),Dorsal Attn,1.0
123,4,Raw FC (2m),Ventral Attn,1.0
123,4,Raw FC (2m),Limbic,0.9333333333333333
123,4,Raw FC (2m),Control,0.9285714285714286
123,4,Raw FC (2m),Default Mode,1.0
123,4,BS-NET (2m),Visual,1.0
123,4,BS-NET (2m),Somatomotor,1.0
123,4,BS-NET (2m),Dorsal Attn,1.0
123,4,BS-NET (2m),Ventral Attn,1.0
123,4,BS-NET (2m),Limbic,0.9333333333333333
123,4,BS-NET (2m),Control,0.9285714285714286
123,4,BS-NET (2m),Default Mode,1.0
777,0,Raw FC (2m),Visual,0.9285714285714286
777,0,Raw FC (2m),Somatomotor,0.875
777,0,Raw FC (2m),Dorsal Attn,0.8666666666666667
777,0,Raw FC (2m),Ventral Attn,1.0
777,0,Raw FC (2m),Limbic,1.0
777,0,Raw FC (2m),Control,1.0
777,0,Raw FC (2m),Default Mode,0.9375
777,0,BS-NET (2m),Visual,0.9285714285714286
777,0,BS-NET (2m),Somatomotor,0.875
777,0,BS-NET (2m),Dorsal Attn,0.8666666666666667
777,0,BS-NET (2m),Ventral Attn,1.0
777,0,BS-NET (2m),Limbic,1.0
777,0,BS-NET (2m),Control,1.0
777,0,BS-NET (2m),Default Mode,0.9375
777,1,Raw FC (2m),Visual,0.875
777,1,Raw FC (2m),Somatomotor,0.875
777,1,Raw FC (2m),Dorsal Attn,0.7857142857142857
777,1,Raw FC (2m),Ventral Attn,1.0
777,1,Raw FC (2m),Limbic,1.0
777,1,Raw FC (2m),Control,0.9285714285714286
777,1,Raw FC (2m),Default Mode,1.0
777,1,BS-NET (2m),Visual,0.875
777,1,BS-NET (2m),Somatomotor,0.875
777,1,BS-NET (2m),Dorsal Attn,0.7857142857142857
777,1,BS-NET (2m),Ventral Attn,1.0
777,1,BS-NET (2m),Limbic,1.0
777,1,BS-NET (2m),Control,0.9285714285714286
777,1,BS-NET (2m),Default Mode,1.0
777,2,Raw FC (2m),Visual,0.9333333333333333
777,2,Raw FC (2m),Somatomotor,0.4642857142857143
777,2,Raw FC (2m),Dorsal Attn,1.0
777,2,Raw FC (2m),Ventral Attn,0.8571428571428571
777,2,Raw FC (2m),Limbic,1.0
777,2,Raw FC (2m),Control,0.5185185185185185
777,2,Raw FC (2m),Default Mode,0.8888888888888888
777,2,BS-NET (2m),Visual,0.9333333333333333
777,2,BS-NET (2m),Somatomotor,0.42857142857142855
