n_rois,seed,method,rho,mae,frobenius,condition_number
20,42,Pearson,0.732139750469532,0.13948248836451263,3.4638558442639367,94.09475330226238
20,42,Ledoit-Wolf,0.736881105097676,0.12870761087352584,3.2251134770656114,36.682269474351465
20,42,OAS,0.736881105097676,0.12870761087352584,3.2251134770656114,36.682269474351465
20,123,Pearson,0.5927267989053591,0.17662891567680802,4.409143861130534,56.76429868369813
20,123,Ledoit-Wolf,0.58875413568846,0.17149847945675123,4.328764510795919,18.571834595774018
20,123,OAS,0.58875413568846,0.17149847945675123,4.328764510795919,18.571834595774018
20,777,Pearson,0.7232018795771694,0.14579875700763278,3.612072525869773,98.64451832191055
20,777,Ledoit-Wolf,0.7275319473578666,0.13731474590201198,3.3683053957505518,40.55959395287728
20,777,OAS,0.7275319473578666,0.13731474590201198,3.3683053957505518,40.55959395287728
50,42,Pearson,0.6423800927160149,0.1325045124131794,8.127474141832682,257.29573054543033
50,42,Ledoit-Wolf,0.6423437167348178,0.11812031376817834,7.310821798054625,25.85027610300951
50,42,OAS,0.6423437167348178,0.11812031376817834,7.310821798054625,25.85027610300951
50,123,Pearson,0.6073483929117722,0.13896669401630055,8.492141846052897,305.8032234105168
50,123,Ledoit-Wolf,0.6053001397635944,0.12138144827536516,7.5146315120082825,32.25902087666809
50,123,OAS,0.6053001397635944,0.12138144827536516,7.5146315120082825,32.25902087666809
50,777,Pearson,0.6777937327925995,0.13110425609699014,8.128834497923744,258.0747552905843
50,777,Ledoit-Wolf,0.6759464150030268,0.11616826517941868,7.305545878275613,36.29893443362516
50,777,OAS,0.6759464150030268,0.11616826517941868,7.305545878275613,36.29893443362516
100,42,Pearson,0.7444600198667527,0.12240764795515766,15.28426560400613,11110.327290830493
100,42,Ledoit-Wolf,0.7425885749797474,0.11085171139642726,13.854250038703034,94.70177081801032
100,42,OAS,0.7425885749797474,0.11085171139642726,13.854250038703034,94.70177081801032
100,123,Pearson,0.7106282180673155,0.12957664220490112,16.156875075747173,11319.184007069402
100,123,Ledoit-Wolf,0.7082686909778576,0.11660540192874923,14.6479504261151,118.42562593432774
100,123,OAS,0.7082686909778576,0.11660540192874923,14.6479504261151,118.42562593432774
100,777,Pearson,0.7135741545582667,0.130615100431474,16.15880656169194,7903.678859192229
100,777,Ledoit-Wolf,0.7140535508806503,0.1175894827065091,14.591042531025327,106.96196672754863
100,777,OAS,0.7140535508806503,0.1175894827065091,14.591042531025327,106.96196672754863
200,42,Pearson,0.7481196460275439,0.12110317682447619,30.08768884357209,6.407416870357856e+18
200,42,Ledoit-Wolf,0.7455177935403551,0.10882954001067081,27.107243499311284,262.67427558685165
200,42,OAS,0.7455177935403551,0.10882954001067081,27.107243499311284,262.67427558685165
200,123,Pearson,0.748577686969985,0.12536528198780947,31.293526457866918,4.193751529285434e+18
200,123,Ledoit-Wolf,0.7467535628965455,0.11358907899328784,28.476106542345676,285.11279998790457
200,123,OAS,0.7467535628965455,0.11358907899328784,28.476106542345676,285.11279998790457
200,777,Pearson,0.7717208583016253,0.12010031757704889,29.766526932293644,3.1598457776618906e+18
200,777,Ledoit-Wolf,0.7702331410080969,0.10768789658003325,26.71771649932699,225.9501181790908
200,777,OAS,0.7702331410080969,0.10768789658003325,26.71771649932699,225.9501181790908
