Seed,Subject,Model,Degree Variance,Small-worldness
42,0,Reference FC (15m),10.3616,1.6323615361405988
42,0,Raw FC (2m),18.5216,1.5815426188403725
42,0,BS-NET (2m),18.5216,1.4803109750751127
42,1,Reference FC (15m),9.601599999999998,1.6789996149823345
42,1,Raw FC (2m),16.6416,1.5022854956507194
42,1,BS-NET (2m),16.6416,1.3630052795804075
42,2,Reference FC (15m),6.1216,1.5583675967985355
42,2,Raw FC (2m),13.921600000000003,1.1991410535948763
42,2,BS-NET (2m),13.921600000000003,1.3802504781376281
42,3,Reference FC (15m),10.3616,1.8441023321058356
42,3,Raw FC (2m),14.281600000000001,1.29534069915652
42,3,BS-NET (2m),14.281600000000001,1.3012164925391325
42,4,Reference FC (15m),11.601600000000001,2.093803679957312
42,4,Raw FC (2m),17.6016,1.6644391244564594
42,4,BS-NET (2m),17.6016,1.3120506590683825
42,5,Reference FC (15m),11.281600000000003,1.9882304581474233
42,5,Raw FC (2m),11.9616,1.3990263005221482
42,5,BS-NET (2m),11.9616,1.5104471853734922
42,6,Reference FC (15m),12.321600000000004,1.6543062763763614
42,6,Raw FC (2m),24.56160000000001,1.6414183336675356
42,6,BS-NET (2m),24.56160000000001,1.4333781962623744
42,7,Reference FC (15m),8.4016,1.8688233368097975
42,7,Raw FC (2m),18.6016,1.501080910168132
42,7,BS-NET (2m),18.6016,1.8263759726546327
42,8,Reference FC (15m),8.041599999999999,1.5745982152632267
42,8,Raw FC (2m),24.2016,1.8414417417017923
42,8,BS-NET (2m),24.2016,1.7028854903254242
42,9,Reference FC (15m),8.4016,1.6408227292808792
42,9,Raw FC (2m),21.7216,1.6448747336145055
42,9,BS-NET (2m),21.7216,1.6066983184966415
123,0,Reference FC (15m),7.0416,1.6452936438276304
123,0,Raw FC (2m),21.5616,1.302259602447441
123,0,BS-NET (2m),21.5616,1.3959545722246482
123,1,Reference FC (15m),6.001599999999999,1.5218769591984858
123,1,Raw FC (2m),17.681599999999996,1.3122214051169931
