subject,dataset,scan_min,tr,true_rho,pred_rho,error,is_above_80
ds000030_sub-10159,ds000030,5.0666666,2.0,0.9257636486791805,0.8505983731532626,0.0751652755259179,True
ds000030_sub-10171,ds000030,5.0666666,2.0,0.9388000440480232,0.7943533750982155,0.14444666894980773,False
ds000030_sub-10189,ds000030,5.0666666,2.0,0.929878182537049,0.8658717935523703,0.0640063889846787,True
ds000030_sub-10206,ds000030,5.0666666,2.0,0.9476487333541319,0.9499801875727121,0.0023314542185801646,True
ds000030_sub-10217,ds000030,5.0666666,2.0,0.9398999663743497,0.8226110425796214,0.11728892379472833,True
ds000030_sub-10225,ds000030,5.0666666,2.0,0.9395216825236624,0.8860026619393122,0.05351902058435021,True
ds000030_sub-10227,ds000030,5.0666666,2.0,0.947604082754788,0.9996906982078865,0.05208661545309845,True
ds000030_sub-10228,ds000030,5.0666666,2.0,0.921484526877431,0.8160292857974388,0.10545524107999216,True
ds000030_sub-10235,ds000030,5.0666666,2.0,0.9418206221836004,0.8265983364782891,0.11522228570531134,True
ds000030_sub-10249,ds000030,5.0666666,2.0,0.929376837477704,0.8528357879616261,0.07654104951607799,True
ds000030_sub-10269,ds000030,5.0666666,2.0,0.9483723301949402,0.9334645221699926,0.014907808024947511,True
ds000030_sub-10271,ds000030,5.0666666,2.0,0.9437281077614555,0.9571385284259153,0.013410420664459743,True
ds000030_sub-10273,ds000030,5.0666666,2.0,0.9488507976957408,0.9435558079250072,0.005294989770733616,True
ds000030_sub-10274,ds000030,5.0666666,2.0,0.9553120577461254,0.9921622264524416,0.03685016870631619,True
ds000030_sub-10280,ds000030,5.0666666,2.0,0.9400266635980917,0.8824023043358489,0.05762435926224285,True
ds000030_sub-10290,ds000030,5.0666666,2.0,0.9405982250204863,0.8262908068572413,0.11430741816324497,True
ds000030_sub-10292,ds000030,5.0666666,2.0,0.9160890910901688,0.8119087677429314,0.10418032334723737,True
ds000030_sub-10299,ds000030,5.0666666,2.0,0.9485868388704647,0.9356875316882423,0.01289930718222243,True
ds000030_sub-10304,ds000030,5.0666666,2.0,0.9304965494013375,0.8189159711338639,0.11158057826747358,True
ds000030_sub-10316,ds000030,5.0666666,2.0,0.9353034528272891,0.9462195929617407,0.010916140134451635,True
ds000030_sub-10321,ds000030,5.0666666,2.0,0.93262622591009,0.905503711077185,0.027122514832905065,True
ds000030_sub-10325,ds000030,5.0666666,2.0,0.9241179200850346,0.8689107131143603,0.05520720697067427,True
ds000030_sub-10329,ds000030,5.0666666,2.0,0.934710493864235,0.8792160786388671,0.05549441522536791,True
ds000030_sub-10339,ds000030,5.0666666,2.0,0.9055369859615735,0.766821478307993,0.13871550765358054,False
ds000030_sub-10340,ds000030,5.0666666,2.0,0.9345066404619239,0.8780672533545809,0.056439387107342975,True
ds000030_sub-10345,ds000030,5.0666666,2.0,0.9364211230144907,0.8601245232508195,0.0762965997636712,True
ds000030_sub-10347,ds000030,5.0666666,2.0,0.9352225518787792,0.891950737739447,0.04327181413933223,True
ds000030_sub-10356,ds000030,5.0666666,2.0,0.9436989881125031,0.870752866252969,0.07294612185953409,True
ds000030_sub-10361,ds000030,5.0666666,2.0,0.9297919097335142,0.7960237592149889,0.1337681505185253,False
ds000030_sub-10365,ds000030,5.0666666,2.0,0.9433852744160737,0.8875661345658382,0.055819139850235455,True
ds000030_sub-10376,ds000030,5.0666666,2.0,0.9343122376851444,0.8980213861067177,0.03629085157842671,True
ds000030_sub-10377,ds000030,5.0666666,2.0,0.92854130102042,0.8565340044945879,0.07200729652583204,True
ds000030_sub-10388,ds000030,5.0666666,2.0,0.9398866542957468,0.8744661662359615,0.06542048805978529,True
ds000030_sub-10428,ds000030,5.0666666,2.0,0.9257786213169088,0.8222754454810859,0.10350317583582291,True
ds000030_sub-10429,ds000030,5.0666666,2.0,0.9275162417318435,0.8481499647494847,0.07936627698235887,True
ds000030_sub-10438,ds000030,5.0666666,2.0,0.9353238958802326,0.8820060364596924,0.053317859420540126,True
ds000030_sub-10440,ds000030,5.0666666,2.0,0.9362632866636698,0.9653426261726387,0.029079339508968904,True
ds000030_sub-10448,ds000030,5.0666666,2.0,0.9356909246083855,0.8839129014587883,0.05177802314959723,True
ds000030_sub-10455,ds000030,5.0666666,2.0,0.9494858979742427,0.9533949312595978,0.00390903328535519,True
ds000030_sub-10460,ds000030,5.0666666,2.0,0.9474266936971987,0.9685648842450744,0.02113819054787569,True
ds000030_sub-10471,ds000030,5.0666666,2.0,0.909077364120509,0.7895051834825699,0.11957218063793906,False
ds000030_sub-10478,ds000030,5.0666666,2.0,0.9449465670929951,0.9176999424289056,0.027246624664089447,True
ds000030_sub-10487,ds000030,5.0666666,2.0,0.9438593271115929,0.9077805598736309,0.036078767237961995,True
ds000030_sub-10492,ds000030,5.0666666,2.0,0.9293479119685825,0.8510737261441484,0.07827418582443402,True
ds000030_sub-10501,ds000030,5.0666666,2.0,0.9455055010528712,0.9005435036415902,0.04496199741128104,True
ds000030_sub-10506,ds000030,5.0666666,2.0,0.936330545025769,0.856769257376713,0.07956128764905601,True
ds000030_sub-10517,ds000030,5.0666666,2.0,0.929930978417356,0.8499277998797,0.08000317853765593,True
ds000030_sub-10523,ds000030,5.0666666,2.0,0.9270922657026532,0.8906662611353255,0.0364260045673277,True
ds000030_sub-10524,ds000030,4.266667,2.0,0.9444122104940063,0.895491141611912,0.04892106888209424,True
ds000030_sub-10525,ds000030,5.0666666,2.0,0.9317331376714242,0.8668973415832348,0.06483579608818935,True
ds000030_sub-10527,ds000030,5.0666666,2.0,0.9332672135033989,0.8510814582927597,0.0821857552106392,True
ds000030_sub-10530,ds000030,5.0666666,2.0,0.9429683092722476,0.9517951471778127,0.008826837905565044,True
ds000030_sub-10557,ds000030,5.0666666,2.0,0.9367851549173719,0.906938991286425,0.029846163630946942,True
ds000030_sub-10565,ds000030,5.0666666,2.0,0.9432081392550485,0.9589921652995083,0.01578402604445972,True
ds000030_sub-10570,ds000030,5.0666666,2.0,0.9243769050107585,0.7510390401527435,0.17333786485801506,False
ds000030_sub-10575,ds000030,5.0666666,2.0,0.9327064774024288,0.912582716839165,0.020123760563263815,True
ds000030_sub-10624,ds000030,5.0666666,2.0,0.9427322983161698,0.8391767528121692,0.10355554550400059,True
ds000030_sub-10629,ds000030,5.0666666,2.0,0.9428268532215615,0.9829934065548779,0.040166553333316424,True
ds000030_sub-10631,ds000030,5.0666666,2.0,0.9282569269668944,0.9341288945286554,0.0058719675617610045,True
