Seed,Subject,Metric,Value
42,4,Adjacent Window Consistency,0.6218246591849047
42,4,Adjacent Window Consistency,0.6270218776520705
42,4,Adjacent Window Consistency,0.7010865053994471
42,4,Adjacent Window Consistency,0.6323009058746422
42,4,Adjacent Window Consistency,0.7043497573600801
42,4,Adjacent Window Consistency,0.6500249147350652
42,4,Adjacent Window Consistency,0.6919908699416861
42,4,Adjacent Window Consistency,0.677747683173262
42,4,Adjacent Window Consistency,0.684866900930937
42,4,Adjacent Window Consistency,0.7121997761378241
42,4,Adjacent Window Consistency,0.6543831270686349
42,4,Adjacent Window Consistency,0.6583762017814183
42,5,Window vs Reference,0.6390027593351018
42,5,Window vs Reference,0.628359539008441
42,5,Window vs Reference,0.7353978823773438
42,5,Window vs Reference,0.6911847117670519
42,5,Window vs Reference,0.6776767671514835
42,5,Window vs Reference,0.6419982156354198
42,5,Window vs Reference,0.6441681034404932
42,5,Window vs Reference,0.6761471101415488
42,5,Window vs Reference,0.6551348692788536
42,5,Window vs Reference,0.6957135096612476
42,5,Window vs Reference,0.6957428749346496
42,5,Window vs Reference,0.6260680563206068
42,5,Window vs Reference,0.6618560741996536
42,5,Window vs Reference,0.6836379552968547
42,5,Adjacent Window Consistency,0.5808777167439068
42,5,Adjacent Window Consistency,0.6771569086992844
42,5,Adjacent Window Consistency,0.7488487110279469
42,5,Adjacent Window Consistency,0.6527071714564698
42,5,Adjacent Window Consistency,0.6516020167903956
42,5,Adjacent Window Consistency,0.7098646705426633
42,5,Adjacent Window Consistency,0.6088811612151586
42,5,Adjacent Window Consistency,0.7117555767685373
42,5,Adjacent Window Consistency,0.6536044286797568
42,5,Adjacent Window Consistency,0.7440727270961738
42,5,Adjacent Window Consistency,0.5950227649348665
42,5,Adjacent Window Consistency,0.7036624962318745
42,5,Adjacent Window Consistency,0.5721687802116687
42,6,Window vs Reference,0.6504137143595823
42,6,Window vs Reference,0.5950516110175003
42,6,Window vs Reference,0.5793877179194123
42,6,Window vs Reference,0.5901711823249484
42,6,Window vs Reference,0.6072832569216876
42,6,Window vs Reference,0.6249700598138173
42,6,Window vs Reference,0.6578031741438333
42,6,Window vs Reference,0.6641839690715052
42,6,Window vs Reference,0.6208449763392184
42,6,Window vs Reference,0.6278790284540013
42,6,Window vs Reference,0.7166224684734406
42,6,Window vs Reference,0.6770347712265227
42,6,Window vs Reference,0.6428525595467938
42,6,Window vs Reference,0.6479234825423033
42,6,Adjacent Window Consistency,0.554234051879543
42,6,Adjacent Window Consistency,0.6796848947779669
42,6,Adjacent Window Consistency,0.6169652567262325
42,6,Adjacent Window Consistency,0.6290773843045754
42,6,Adjacent Window Consistency,0.6488345960823771
42,6,Adjacent Window Consistency,0.6800709532438349
42,6,Adjacent Window Consistency,0.707653553423451
42,6,Adjacent Window Consistency,0.6559377531452206
42,6,Adjacent Window Consistency,0.7026654564002432
42,6,Adjacent Window Consistency,0.6483770539659447
42,6,Adjacent Window Consistency,0.6867319715252265
42,6,Adjacent Window Consistency,0.7199317239072806
42,6,Adjacent Window Consistency,0.6389013262053366
42,7,Window vs Reference,0.7256714072760684
42,7,Window vs Reference,0.68864283093814
42,7,Window vs Reference,0.6895524655920472
42,7,Window vs Reference,0.7132150121576548
42,7,Window vs Reference,0.7112624464283781
42,7,Window vs Reference,0.69834910847278
42,7,Window vs Reference,0.6636755242983572
42,7,Window vs Reference,0.6508322283737551
42,7,Window vs Reference,0.6608184517726899
42,7,Window vs Reference,0.694392075218375
42,7,Window vs Reference,0.7136714899042831
42,7,Window vs Reference,0.6810023162110306
42,7,Window vs Reference,0.6915941717791707
42,7,Window vs Reference,0.704119767031764
42,7,Adjacent Window Consistency,0.6836782170591945
42,7,Adjacent Window Consistency,0.7318830188228878
42,7,Adjacent Window Consistency,0.6751910816007045
42,7,Adjacent Window Consistency,0.7333113694337711
42,7,Adjacent Window Consistency,0.7058750482182835
42,7,Adjacent Window Consistency,0.6387335276914268
42,7,Adjacent Window Consistency,0.6643106647561043
42,7,Adjacent Window Consistency,0.7054060751958899
42,7,Adjacent Window Consistency,0.6697166120668182
42,7,Adjacent Window Consistency,0.7041486830027539
42,7,Adjacent Window Consistency,0.7131895347899528
42,7,Adjacent Window Consistency,0.705219595652455
42,7,Adjacent Window Consistency,0.7068016602141068
42,8,Window vs Reference,0.7248330201234499
42,8,Window vs Reference,0.6726561410384627
42,8,Window vs Reference,0.6527066310202249
42,8,Window vs Reference,0.6524937277219276
42,8,Window vs Reference,0.6286857277044187
42,8,Window vs Reference,0.5971642464749489
42,8,Window vs Reference,0.5942105772074602
42,8,Window vs Reference,0.603562005931493
42,8,Window vs Reference,0.647131086261641
42,8,Window vs Reference,0.6248151418030178
42,8,Window vs Reference,0.6708815421509061
42,8,Window vs Reference,0.6193467719928906
42,8,Window vs Reference,0.6543182252722887
42,8,Window vs Reference,0.6787982202434103
42,8,Adjacent Window Consistency,0.6977916600336302
42,8,Adjacent Window Consistency,0.7027252147823919
42,8,Adjacent Window Consistency,0.6532190281591914
42,8,Adjacent Window Consistency,0.6685646504473323
42,8,Adjacent Window Consistency,0.6182229582215801
42,8,Adjacent Window Consistency,0.6594435923517089
42,8,Adjacent Window Consistency,0.627674174973827
42,8,Adjacent Window Consistency,0.6909126764084619
42,8,Adjacent Window Consistency,0.6528607911001152
42,8,Adjacent Window Consistency,0.5942274135055733
42,8,Adjacent Window Consistency,0.7289807416043567
42,8,Adjacent Window Consistency,0.6372233324776461
42,8,Adjacent Window Consistency,0.724949593639553
42,9,Window vs Reference,0.670287935484716
42,9,Window vs Reference,0.621852218565676
42,9,Window vs Reference,0.6035128757224086
42,9,Window vs Reference,0.5895585723526809
42,9,Window vs Reference,0.6177385137953102
42,9,Window vs Reference,0.6462026653432681
42,9,Window vs Reference,0.64467137695285
42,9,Window vs Reference,0.6032301580723681
42,9,Window vs Reference,0.6255388610091255
42,9,Window vs Reference,0.6409278222814018
42,9,Window vs Reference,0.6176556884944147
42,9,Window vs Reference,0.5870258832039176
42,9,Window vs Reference,0.6031946534602325
42,9,Window vs Reference,0.6183232095944564
42,9,Adjacent Window Consistency,0.6930973224926897
42,9,Adjacent Window Consistency,0.6051113382488639
42,9,Adjacent Window Consistency,0.6237983999266247
42,9,Adjacent Window Consistency,0.6285831703016763
42,9,Adjacent Window Consistency,0.6606294604333967
42,9,Adjacent Window Consistency,0.7066203636233906
42,9,Adjacent Window Consistency,0.6191789062971679
42,9,Adjacent Window Consistency,0.6295056002357614
42,9,Adjacent Window Consistency,0.6691495741933032
42,9,Adjacent Window Consistency,0.652598321336644
42,9,Adjacent Window Consistency,0.5908386947287826
42,9,Adjacent Window Consistency,0.5640065644594426
42,9,Adjacent Window Consistency,0.6878254880078043
123,0,Window vs Reference,0.6591257341484267
123,0,Window vs Reference,0.6751656108804809
123,0,Window vs Reference,0.678928725368984
123,0,Window vs Reference,0.628287420999639
123,0,Window vs Reference,0.6001851541610119
123,0,Window vs Reference,0.6247691597968738
123,0,Window vs Reference,0.6570058081555792
123,0,Window vs Reference,0.6460485165007601
123,0,Window vs Reference,0.6302721938108252
123,0,Window vs Reference,0.6291033691768749
123,0,Window vs Reference,0.6473467360480777
123,0,Window vs Reference,0.5846337274765149
123,0,Window vs Reference,0.6172748770666493
123,0,Window vs Reference,0.640860861974729
123,0,Adjacent Window Consistency,0.6678748221117046
123,0,Adjacent Window Consistency,0.6817490638407442
123,0,Adjacent Window Consistency,0.588040228088785
123,0,Adjacent Window Consistency,0.6254033678837266
123,0,Adjacent Window Consistency,0.6535802406159755
123,0,Adjacent Window Consistency,0.6649023119904197
123,0,Adjacent Window Consistency,0.6640342566737486
123,0,Adjacent Window Consistency,0.6408675105747232
123,0,Adjacent Window Consistency,0.6369688330600825
123,0,Adjacent Window Consistency,0.7290303937471326
123,0,Adjacent Window Consistency,0.6372084874548589
123,0,Adjacent Window Consistency,0.6351021652062427
123,0,Adjacent Window Consistency,0.5991397136962259
123,1,Window vs Reference,0.6667723716253713
123,1,Window vs Reference,0.6706532561232409
123,1,Window vs Reference,0.6315737934246403
123,1,Window vs Reference,0.561561789029889
123,1,Window vs Reference,0.6367516973690845
123,1,Window vs Reference,0.6545577943011923
123,1,Window vs Reference,0.6778203985141175
123,1,Window vs Reference,0.6508006122699145
123,1,Window vs Reference,0.6797916850037861
123,1,Window vs Reference,0.6845061957898605
123,1,Window vs Reference,0.6660289598447806
123,1,Window vs Reference,0.6404940389224221
123,1,Window vs Reference,0.6781665848727375
123,1,Window vs Reference,0.7190383293054147
123,1,Adjacent Window Consistency,0.6421106619832679
123,1,Adjacent Window Consistency,0.6741689652787397
123,1,Adjacent Window Consistency,0.5809540593817019
123,1,Adjacent Window Consistency,0.6365856438584271
123,1,Adjacent Window Consistency,0.6326512436782822
123,1,Adjacent Window Consistency,0.6409013802072779
123,1,Adjacent Window Consistency,0.6109623111251258
123,1,Adjacent Window Consistency,0.7264735096128918
123,1,Adjacent Window Consistency,0.6216119963360949
123,1,Adjacent Window Consistency,0.7365668891752221
123,1,Adjacent Window Consistency,0.6202769128097193
123,1,Adjacent Window Consistency,0.6534326752277636
123,1,Adjacent Window Consistency,0.6840228084364309
123,2,Window vs Reference,0.6284542516067155
123,2,Window vs Reference,0.633214882159619
123,2,Window vs Reference,0.6401260169086206
123,2,Window vs Reference,0.6353869648808875
123,2,Window vs Reference,0.6800659206565899
123,2,Window vs Reference,0.6939751037855296
123,2,Window vs Reference,0.6613672325478074
123,2,Window vs Reference,0.5929491388219478
123,2,Window vs Reference,0.5955765745603807
123,2,Window vs Reference,0.6488560522387056
123,2,Window vs Reference,0.6925569867021114
123,2,Window vs Reference,0.6419825790895706
123,2,Window vs Reference,0.6549142723407565
123,2,Window vs Reference,0.7046779253820609
123,2,Adjacent Window Consistency,0.6079342133665341
123,2,Adjacent Window Consistency,0.6747907015429748
123,2,Adjacent Window Consistency,0.6776357493449137
123,2,Adjacent Window Consistency,0.6675373227058755
123,2,Adjacent Window Consistency,0.6979696584595969
123,2,Adjacent Window Consistency,0.7196226297962505
123,2,Adjacent Window Consistency,0.6377924925026263
123,2,Adjacent Window Consistency,0.6408716766055927
123,2,Adjacent Window Consistency,0.6404183096033611
123,2,Adjacent Window Consistency,0.6455833444134367
123,2,Adjacent Window Consistency,0.6660107576715972
123,2,Adjacent Window Consistency,0.6427578701260451
123,2,Adjacent Window Consistency,0.7168599343829571
123,3,Window vs Reference,0.6286492630053736
123,3,Window vs Reference,0.6057353740028845
123,3,Window vs Reference,0.6272289119492224
123,3,Window vs Reference,0.650264894345597
123,3,Window vs Reference,0.6235139011153095
123,3,Window vs Reference,0.5851203900524623
123,3,Window vs Reference,0.6312223547604813
123,3,Window vs Reference,0.6427764197403031
123,3,Window vs Reference,0.6605254493887774
123,3,Window vs Reference,0.706980935720466
123,3,Window vs Reference,0.6983618029113035
123,3,Window vs Reference,0.6521448470589907
123,3,Window vs Reference,0.5911361028266846
123,3,Window vs Reference,0.5775656384590487
123,3,Adjacent Window Consistency,0.6558760986412157
123,3,Adjacent Window Consistency,0.6614356294383711
123,3,Adjacent Window Consistency,0.6353650225156823
123,3,Adjacent Window Consistency,0.6302403817657665
123,3,Adjacent Window Consistency,0.6511584849170519
123,3,Adjacent Window Consistency,0.6478312631691522
123,3,Adjacent Window Consistency,0.6263141414663821
123,3,Adjacent Window Consistency,0.6716305672642123
123,3,Adjacent Window Consistency,0.7062070477819891
123,3,Adjacent Window Consistency,0.7201206952539784
123,3,Adjacent Window Consistency,0.6268524759414218
123,3,Adjacent Window Consistency,0.7171854263245838
