subject_id,condition,seed,rho_hat_T,delta_from_full
sub-002_schaefer200,L_no_sb,2026,0.726215,-0.137761
sub-002_schaefer200,L_no_lw,2026,0.867879,0.003903
sub-002_schaefer200,L_no_boot,2026,0.914369,0.050393
sub-002_schaefer200,L_no_prior,2026,0.793687,-0.070289
sub-002_schaefer200,L_no_atten,2026,0.944832,0.080856
sub-002_schaefer200,L_full,3141,0.867131,0.000000
sub-002_schaefer200,L_no_sb,3141,0.719964,-0.147168
sub-002_schaefer200,L_no_lw,3141,0.863297,-0.003834
sub-002_schaefer200,L_no_boot,3141,0.914369,0.047237
sub-002_schaefer200,L_no_prior,3141,0.757218,-0.109914
sub-002_schaefer200,L_no_atten,3141,0.945441,0.078310
sub-002_schaefer200,L_full,628,0.868523,0.000000
sub-002_schaefer200,L_no_sb,628,0.711511,-0.157012
sub-002_schaefer200,L_no_lw,628,0.858222,-0.010301
sub-002_schaefer200,L_no_boot,628,0.914369,0.045846
sub-002_schaefer200,L_no_prior,628,0.783227,-0.085296
sub-002_schaefer200,L_no_atten,628,0.951339,0.082816
sub-002_schaefer200,L_full,2718,0.870883,0.000000
sub-002_schaefer200,L_no_sb,2718,0.723552,-0.147331
sub-002_schaefer200,L_no_lw,2718,0.868818,-0.002065
sub-002_schaefer200,L_no_boot,2718,0.914369,0.043485
sub-002_schaefer200,L_no_prior,2718,0.783013,-0.087870
sub-002_schaefer200,L_no_atten,2718,0.946741,0.075857
sub-002_schaefer200,L_full,1414,0.869223,0.000000
sub-002_schaefer200,L_no_sb,1414,0.717775,-0.151448
sub-002_schaefer200,L_no_lw,1414,0.860683,-0.008540
sub-002_schaefer200,L_no_boot,1414,0.914369,0.045145
sub-002_schaefer200,L_no_prior,1414,0.792358,-0.076865
sub-002_schaefer200,L_no_atten,1414,0.947462,0.078239
sub-003_schaefer200,L_full,42,0.876310,0.000000
sub-003_schaefer200,L_no_sb,42,0.722083,-0.154227
sub-003_schaefer200,L_no_lw,42,0.873080,-0.003230
sub-003_schaefer200,L_no_boot,42,0.923064,0.046754
sub-003_schaefer200,L_no_prior,42,0.791642,-0.084668
sub-003_schaefer200,L_no_atten,42,0.949514,0.073204
sub-003_schaefer200,L_full,123,0.869340,0.000000
sub-003_schaefer200,L_no_sb,123,0.725594,-0.143746
sub-003_schaefer200,L_no_lw,123,0.861575,-0.007764
sub-003_schaefer200,L_no_boot,123,0.923064,0.053725
sub-003_schaefer200,L_no_prior,123,0.786481,-0.082858
sub-003_schaefer200,L_no_atten,123,0.949641,0.080301
sub-003_schaefer200,L_full,777,0.870403,0.000000
sub-003_schaefer200,L_no_sb,777,0.722616,-0.147787
sub-003_schaefer200,L_no_lw,777,0.865401,-0.005003
sub-003_schaefer200,L_no_boot,777,0.923064,0.052661
sub-003_schaefer200,L_no_prior,777,0.792452,-0.077952
sub-003_schaefer200,L_no_atten,777,0.952149,0.081746
sub-003_schaefer200,L_full,2026,0.873449,0.000000
sub-003_schaefer200,L_no_sb,2026,0.733844,-0.139605
sub-003_schaefer200,L_no_lw,2026,0.862543,-0.010906
sub-003_schaefer200,L_no_boot,2026,0.923064,0.049615
sub-003_schaefer200,L_no_prior,2026,0.778611,-0.094838
sub-003_schaefer200,L_no_atten,2026,0.946257,0.072808
sub-003_schaefer200,L_full,314,0.869494,0.000000
sub-003_schaefer200,L_no_sb,314,0.712804,-0.156690
sub-003_schaefer200,L_no_lw,314,0.859814,-0.009680
sub-003_schaefer200,L_no_boot,314,0.923064,0.053570
sub-003_schaefer200,L_no_prior,314,0.805430,-0.064064
sub-003_schaefer200,L_no_atten,314,0.949182,0.079688
sub-003_schaefer200,L_full,9999,0.865680,0.000000
sub-003_schaefer200,L_no_sb,9999,0.719397,-0.146283
