subject_id,level,level_name,seed,rho_hat_T,delta_from_raw
50031_cc200,L5,Full BS-NET,314,0.912110,0.005312
50031_cc200,L0,Raw,628,0.906798,0.000000
50031_cc200,L1,+LW,628,0.907977,0.001179
50031_cc200,L2,+Bootstrap,628,0.850076,-0.056722
50031_cc200,L3,+SB+Atten,628,0.872821,-0.033977
50031_cc200,L4,+Prior,628,0.913995,0.007197
50031_cc200,L5,Full BS-NET,628,0.912219,0.005420
50031_cc200,L0,Raw,1414,0.906798,0.000000
50031_cc200,L1,+LW,1414,0.907977,0.001179
50031_cc200,L2,+Bootstrap,1414,0.852635,-0.054164
50031_cc200,L3,+SB+Atten,1414,0.874612,-0.032187
50031_cc200,L4,+Prior,1414,0.912332,0.005534
50031_cc200,L5,Full BS-NET,1414,0.911381,0.004583
50031_cc200,L0,Raw,2718,0.906798,0.000000
50031_cc200,L1,+LW,2718,0.907977,0.001179
50031_cc200,L2,+Bootstrap,2718,0.843266,-0.063533
50031_cc200,L3,+SB+Atten,2718,0.875516,-0.031282
50031_cc200,L4,+Prior,2718,0.915108,0.008310
50031_cc200,L5,Full BS-NET,2718,0.913998,0.007200
50031_cc200,L0,Raw,3141,0.906798,0.000000
50031_cc200,L1,+LW,3141,0.907977,0.001179
50031_cc200,L2,+Bootstrap,3141,0.847029,-0.059769
50031_cc200,L3,+SB+Atten,3141,0.867635,-0.039164
50031_cc200,L4,+Prior,3141,0.911906,0.005108
50031_cc200,L5,Full BS-NET,3141,0.908321,0.001522
50032_cc200,L0,Raw,777,0.922003,0.000000
50032_cc200,L1,+LW,777,0.925454,0.003451
50032_cc200,L2,+Bootstrap,777,0.861893,-0.060110
50032_cc200,L3,+SB+Atten,777,0.894936,-0.027068
50032_cc200,L4,+Prior,777,0.920368,-0.001635
50032_cc200,L5,Full BS-NET,777,0.922341,0.000338
50032_cc200,L0,Raw,2026,0.922003,0.000000
50032_cc200,L1,+LW,2026,0.925454,0.003451
50032_cc200,L2,+Bootstrap,2026,0.868711,-0.053293
50032_cc200,L3,+SB+Atten,2026,0.889426,-0.032577
50032_cc200,L4,+Prior,2026,0.923282,0.001279
50032_cc200,L5,Full BS-NET,2026,0.921371,-0.000633
50032_cc200,L0,Raw,42,0.922003,0.000000
50032_cc200,L1,+LW,42,0.925454,0.003451
50032_cc200,L2,+Bootstrap,42,0.870357,-0.051646
50032_cc200,L3,+SB+Atten,42,0.885223,-0.036780
50032_cc200,L4,+Prior,42,0.923162,0.001159
50032_cc200,L5,Full BS-NET,42,0.921141,-0.000862
50032_cc200,L0,Raw,123,0.922003,0.000000
50032_cc200,L1,+LW,123,0.925454,0.003451
50032_cc200,L2,+Bootstrap,123,0.867174,-0.054829
50032_cc200,L3,+SB+Atten,123,0.895346,-0.026657
50032_cc200,L4,+Prior,123,0.921825,-0.000178
50032_cc200,L5,Full BS-NET,123,0.923167,0.001164
50032_cc200,L0,Raw,314,0.922003,0.000000
50032_cc200,L1,+LW,314,0.925454,0.003451
50032_cc200,L2,+Bootstrap,314,0.866968,-0.055035
50032_cc200,L3,+SB+Atten,314,0.894034,-0.027969
50032_cc200,L4,+Prior,314,0.922928,0.000925
50032_cc200,L5,Full BS-NET,314,0.923747,0.001744
50032_cc200,L0,Raw,9999,0.922003,0.000000
50032_cc200,L1,+LW,9999,0.925454,0.003451
50032_cc200,L2,+Bootstrap,9999,0.865531,-0.056472
50032_cc200,L3,+SB+Atten,9999,0.883826,-0.038177
50032_cc200,L4,+Prior,9999,0.926490,0.004487
50032_cc200,L5,Full BS-NET,9999,0.926455,0.004452
50032_cc200,L0,Raw,628,0.922003,0.000000
50032_cc200,L1,+LW,628,0.925454,0.003451
50032_cc200,L2,+Bootstrap,628,0.867880,-0.054123
50032_cc200,L3,+SB+Atten,628,0.891073,-0.030930
50032_cc200,L4,+Prior,628,0.919500,-0.002503
50032_cc200,L5,Full BS-NET,628,0.924515,0.002512
50032_cc200,L0,Raw,1414,0.922003,0.000000
50032_cc200,L1,+LW,1414,0.925454,0.003451
50032_cc200,L2,+Bootstrap,1414,0.870497,-0.051506
50032_cc200,L3,+SB+Atten,1414,0.893708,-0.028295
50032_cc200,L4,+Prior,1414,0.922060,0.000056
50032_cc200,L5,Full BS-NET,1414,0.920158,-0.001846
50033_cc200,L0,Raw,123,0.902456,0.000000
50033_cc200,L1,+LW,123,0.902614,0.000158
50033_cc200,L2,+Bootstrap,123,0.841822,-0.060633
50033_cc200,L3,+SB+Atten,123,0.868238,-0.034217
50033_cc200,L4,+Prior,123,0.906068,0.003612
50033_cc200,L5,Full BS-NET,123,0.908972,0.006516
50033_cc200,L0,Raw,42,0.902456,0.000000
50033_cc200,L1,+LW,42,0.902614,0.000158
50033_cc200,L2,+Bootstrap,42,0.840663,-0.061793
50033_cc200,L3,+SB+Atten,42,0.864966,-0.037490
50033_cc200,L4,+Prior,42,0.906185,0.003730
50033_cc200,L5,Full BS-NET,42,0.904894,0.002439
50032_cc200,L0,Raw,2718,0.922003,0.000000
50032_cc200,L1,+LW,2718,0.925454,0.003451
50032_cc200,L2,+Bootstrap,2718,0.872517,-0.049486
50032_cc200,L3,+SB+Atten,2718,0.885889,-0.036114
50032_cc200,L4,+Prior,2718,0.919914,-0.002090
50032_cc200,L5,Full BS-NET,2718,0.925516,0.003513
50032_cc200,L0,Raw,3141,0.922003,0.000000
50032_cc200,L1,+LW,3141,0.925454,0.003451
50032_cc200,L2,+Bootstrap,3141,0.873460,-0.048543
50032_cc200,L3,+SB+Atten,3141,0.889326,-0.032677
50032_cc200,L4,+Prior,3141,0.923386,0.001383
50032_cc200,L5,Full BS-NET,3141,0.925490,0.003487
50033_cc200,L0,Raw,777,0.902456,0.000000
50033_cc200,L1,+LW,777,0.902614,0.000158
50033_cc200,L2,+Bootstrap,777,0.832158,-0.070298
50033_cc200,L3,+SB+Atten,777,0.873252,-0.029204
50033_cc200,L4,+Prior,777,0.906048,0.003592
50033_cc200,L5,Full BS-NET,777,0.905233,0.002778
50033_cc200,L0,Raw,2026,0.902456,0.000000
50033_cc200,L1,+LW,2026,0.902614,0.000158
50033_cc200,L2,+Bootstrap,2026,0.838356,-0.064099
50033_cc200,L3,+SB+Atten,2026,0.862766,-0.039690
50033_cc200,L4,+Prior,2026,0.906598,0.004142
50033_cc200,L5,Full BS-NET,2026,0.903180,0.000724
50033_cc200,L0,Raw,9999,0.902456,0.000000
50033_cc200,L1,+LW,9999,0.902614,0.000158
50033_cc200,L2,+Bootstrap,9999,0.836405,-0.066051
50033_cc200,L3,+SB+Atten,9999,0.869254,-0.033202
50033_cc200,L4,+Prior,9999,0.908576,0.006120
50033_cc200,L5,Full BS-NET,9999,0.906065,0.003609
50033_cc200,L0,Raw,314,0.902456,0.000000
50033_cc200,L1,+LW,314,0.902614,0.000158
50033_cc200,L2,+Bootstrap,314,0.838656,-0.063800
50033_cc200,L3,+SB+Atten,314,0.870512,-0.031944
50033_cc200,L4,+Prior,314,0.905700,0.003244
50033_cc200,L5,Full BS-NET,314,0.908695,0.006240
50033_cc200,L0,Raw,628,0.902456,0.000000
50033_cc200,L1,+LW,628,0.902614,0.000158
50033_cc200,L2,+Bootstrap,628,0.839578,-0.062878
50033_cc200,L3,+SB+Atten,628,0.872078,-0.030378
50033_cc200,L4,+Prior,628,0.907503,0.005047
50033_cc200,L5,Full BS-NET,628,0.905626,0.003170
50033_cc200,L0,Raw,2718,0.902456,0.000000
50033_cc200,L1,+LW,2718,0.902614,0.000158
50033_cc200,L2,+Bootstrap,2718,0.837357,-0.065099
50033_cc200,L3,+SB+Atten,2718,0.870259,-0.032196
50033_cc200,L4,+Prior,2718,0.902277,-0.000179
50033_cc200,L5,Full BS-NET,2718,0.910527,0.008072
50033_cc200,L0,Raw,1414,0.902456,0.000000
50033_cc200,L1,+LW,1414,0.902614,0.000158
50033_cc200,L2,+Bootstrap,1414,0.836416,-0.066040
50033_cc200,L3,+SB+Atten,1414,0.868780,-0.033676
50033_cc200,L4,+Prior,1414,0.904879,0.002424
50033_cc200,L5,Full BS-NET,1414,0.904306,0.001850
50033_cc200,L0,Raw,3141,0.902456,0.000000
50033_cc200,L1,+LW,3141,0.902614,0.000158
50033_cc200,L2,+Bootstrap,3141,0.838004,-0.064452
50033_cc200,L3,+SB+Atten,3141,0.866855,-0.035601
50033_cc200,L4,+Prior,3141,0.909463,0.007007
50033_cc200,L5,Full BS-NET,3141,0.906666,0.004211
50034_cc200,L0,Raw,123,0.890582,0.000000
50034_cc200,L1,+LW,123,0.890699,0.000117
50034_cc200,L2,+Bootstrap,123,0.829256,-0.061326
50034_cc200,L3,+SB+Atten,123,0.861534,-0.029047
50034_cc200,L4,+Prior,123,0.897601,0.007019
50034_cc200,L5,Full BS-NET,123,0.900395,0.009813
50034_cc200,L0,Raw,42,0.890582,0.000000
50034_cc200,L1,+LW,42,0.890699,0.000117
50034_cc200,L2,+Bootstrap,42,0.829307,-0.061275
50034_cc200,L3,+SB+Atten,42,0.857617,-0.032965
50034_cc200,L4,+Prior,42,0.896352,0.005771
