subject_id,condition,seed,rho_hat_T,delta_from_full
50031_cc200,L_no_boot,628,0.949499,0.034216
50031_cc200,L_no_prior,628,0.871474,-0.043810
50031_cc200,L_no_atten,628,0.945848,0.030564
50031_cc200,L_full,3141,0.912693,0.000000
50031_cc200,L_no_sb,3141,0.842132,-0.070561
50031_cc200,L_no_lw,3141,0.907175,-0.005518
50031_cc200,L_no_boot,3141,0.949499,0.036806
50031_cc200,L_no_prior,3141,0.867478,-0.045215
50031_cc200,L_no_atten,3141,0.948198,0.035505
50031_cc200,L_full,2718,0.911827,0.000000
50031_cc200,L_no_sb,2718,0.843274,-0.068553
50031_cc200,L_no_lw,2718,0.914652,0.002824
50031_cc200,L_no_boot,2718,0.949499,0.037672
50031_cc200,L_no_prior,2718,0.871134,-0.040694
50031_cc200,L_no_atten,2718,0.948686,0.036859
50032_cc200,L_full,42,0.925647,0.000000
50032_cc200,L_no_sb,42,0.870855,-0.054792
50032_cc200,L_no_lw,42,0.917418,-0.008229
50032_cc200,L_no_boot,42,0.958307,0.032660
50032_cc200,L_no_prior,42,0.889067,-0.036580
50032_cc200,L_no_atten,42,0.954181,0.028534
50032_cc200,L_full,123,0.921547,0.000000
50032_cc200,L_no_sb,123,0.868706,-0.052841
50032_cc200,L_no_lw,123,0.921497,-0.000050
50032_cc200,L_no_boot,123,0.958307,0.036760
50032_cc200,L_no_prior,123,0.898750,-0.022797
50032_cc200,L_no_atten,123,0.955416,0.033869
50032_cc200,L_full,777,0.925987,0.000000
50032_cc200,L_no_sb,777,0.856671,-0.069316
50032_cc200,L_no_lw,777,0.918878,-0.007110
50032_cc200,L_no_boot,777,0.958307,0.032320
50032_cc200,L_no_prior,777,0.899089,-0.026899
50032_cc200,L_no_atten,777,0.955147,0.029159
50032_cc200,L_full,2026,0.923377,0.000000
50032_cc200,L_no_sb,2026,0.870542,-0.052836
50032_cc200,L_no_lw,2026,0.919402,-0.003975
50032_cc200,L_no_boot,2026,0.958307,0.034930
50032_cc200,L_no_prior,2026,0.891781,-0.031597
50032_cc200,L_no_atten,2026,0.955913,0.032535
50032_cc200,L_full,9999,0.922420,0.000000
50032_cc200,L_no_sb,9999,0.869141,-0.053280
50032_cc200,L_no_lw,9999,0.920641,-0.001779
50032_cc200,L_no_boot,9999,0.958307,0.035887
50032_cc200,L_no_prior,9999,0.882340,-0.040081
50032_cc200,L_no_atten,9999,0.958452,0.036032
50032_cc200,L_full,314,0.926619,0.000000
50032_cc200,L_no_sb,314,0.861556,-0.065063
50032_cc200,L_no_lw,314,0.924476,-0.002144
50032_cc200,L_no_boot,314,0.958307,0.031688
50032_cc200,L_no_prior,314,0.896059,-0.030560
50032_cc200,L_no_atten,314,0.956136,0.029517
50032_cc200,L_full,628,0.924482,0.000000
50032_cc200,L_no_sb,628,0.872183,-0.052299
50032_cc200,L_no_lw,628,0.924370,-0.000112
50032_cc200,L_no_boot,628,0.958307,0.033825
50032_cc200,L_no_prior,628,0.885766,-0.038716
50032_cc200,L_no_atten,628,0.953652,0.029170
50032_cc200,L_full,2718,0.928506,0.000000
50032_cc200,L_no_sb,2718,0.871428,-0.057078
50032_cc200,L_no_lw,2718,0.920422,-0.008084
50032_cc200,L_no_boot,2718,0.958307,0.029801
50032_cc200,L_no_prior,2718,0.883001,-0.045506
50032_cc200,L_no_atten,2718,0.954042,0.025535
50032_cc200,L_full,1414,0.922940,0.000000
50032_cc200,L_no_sb,1414,0.873151,-0.049790
50032_cc200,L_no_lw,1414,0.923125,0.000185
50032_cc200,L_no_boot,1414,0.958307,0.035367
50032_cc200,L_no_prior,1414,0.893944,-0.028996
50032_cc200,L_no_atten,1414,0.953476,0.030535
50032_cc200,L_full,3141,0.927928,0.000000
50032_cc200,L_no_sb,3141,0.870468,-0.057460
50032_cc200,L_no_lw,3141,0.918992,-0.008935
50032_cc200,L_no_boot,3141,0.958307,0.030379
50032_cc200,L_no_prior,3141,0.889992,-0.037936
50032_cc200,L_no_atten,3141,0.957605,0.029677
50033_cc200,L_full,123,0.907349,0.000000
50033_cc200,L_no_sb,123,0.845787,-0.061563
50033_cc200,L_no_lw,123,0.907563,0.000214
50033_cc200,L_no_boot,123,0.947326,0.039977
50033_cc200,L_no_prior,123,0.874117,-0.033232
50033_cc200,L_no_atten,123,0.946806,0.039456
50033_cc200,L_full,42,0.912368,0.000000
50033_cc200,L_no_sb,42,0.836442,-0.075926
50033_cc200,L_no_lw,42,0.899950,-0.012417
50033_cc200,L_no_boot,42,0.947326,0.034958
50033_cc200,L_no_prior,42,0.874894,-0.037473
50033_cc200,L_no_atten,42,0.946072,0.033704
50033_cc200,L_full,2026,0.907992,0.000000
50033_cc200,L_no_sb,2026,0.835133,-0.072859
50033_cc200,L_no_lw,2026,0.902384,-0.005608
50033_cc200,L_no_boot,2026,0.947326,0.039334
50033_cc200,L_no_prior,2026,0.863959,-0.044033
